nt	UM	MU
887	1.00E-50	1.21E-57
888	3.92E-78	1.03E-64
889	4.04E-61	7.00E-46
890	0.243223932	0.033482904
891	4.74E-94	1.75E-117
892	2.10E-137	2.10E-137
893	1.13E-07	7.38E-08
894	6.24E-09	4.32E-08
895	0.001198085	0.930647279
896	3.92E-21	4.16E-29
897	0.934279075	7.62E-05
898	1.01E-05	6.02E-06
899	1.61E-52	5.34E-45
900	3.15E-58	1.91E-12
901	7.26E-134	7.50E-134
902	2.46E-15	7.40E-07
903	0.799312649	0.010959062
904	1.22E-14	4.32E-10
905	4.36E-11	1.69E-07
906	2.45E-05	4.44E-05
907	1.70E-75	3.36E-87
908	1.16E-32	3.20E-67
909	7.26E-134	1.07E-130
910	1.07E-130	4.99E-123
911	2.77E-139	2.77E-139
912	3.13E-26	1.66E-56
913	0.001502381	0.000540065
914	4.18E-74	1.38E-112
915	0.999940499	6.50E-10
916	4.43E-49	1.81E-86
917	2.60E-05	1.24E-07
918	1.25E-06	1.55E-08
919	2.09E-09	1.12E-09
920	1.02E-09	8.21E-10
921	1.90E-06	8.83E-07
922	1.45E-90	1.45E-90
923	9.66E-24	2.20E-64
924	2.77E-139	2.77E-139
925	7.32E-16	2.09E-11
926	7.30E-08	1.15E-07
927	1.23E-07	6.13E-07
928	7.38E-59	7.23E-65
929	4.99E-105	1.77E-101
930	2.77E-139	1.07E-130
931	2.42E-138	2.09E-137
932	8.69E-07	0.995873585
933	3.66E-09	4.87E-07
934	0.002877367	0.028524152
935	4.21E-95	2.12E-91
936	1.24E-30	1.85E-07
937	8.06E-86	2.90E-84
938	8.77E-06	2.56E-05
939	1.72E-101	3.80E-107
940	5.58E-100	1.34E-119
941	0.999867357	3.92E-09
942	0.002240774	1.93E-06
943	7.72E-57	1.39E-79
944	1.24E-06	6.10E-05
945	1.66E-06	3.24E-05
946	2.10E-07	1.53E-42
947	0.425329122	5.56E-06
948	6.53E-105	1.11E-126
949	0.998358313	1.91E-13
950	1.34E-135	1.96E-137
951	0.001191946	8.46E-08
952	0.242187406	2.11E-09
953	0.999943413	1.84E-11
954	0.994041387	1.16E-09
955	0.999900147	2.54E-11
956	6.69E-07	1.28E-09
957	5.67E-08	5.79E-08
958	1.00E-16	8.83E-21
959	1.90E-128	4.99E-123
960	4.54E-77	4.29E-94
961	1.78E-11	1.14E-37
962	5.11E-08	5.39E-08
963	1.11E-09	1.01E-09
964	6.72E-10	6.78E-10
965	9.01E-10	5.20E-08
966	2.14E-15	0.994884196
967	6.57E-39	0.999998985
968	7.26E-134	5.69E-81
969	1.96E-46	8.53E-13
970	8.28E-97	3.54E-94
971	5.34E-08	5.74E-08
972	5.15E-08	5.15E-08
973	4.38E-28	1.09E-08
974	1.02E-89	5.86E-49
975	9.56E-27	4.01E-09
976	0.859255559	7.26E-06
977	1.23E-07	2.29E-08
978	6.83E-10	6.86E-10
979	1.68E-07	3.10E-09
980	5.21E-08	5.20E-08
981	1.85E-43	7.37E-14
982	5.65E-38	7.07E-29
983	0.035199878	0.501540933
984	0.999514406	5.10E-13
985	8.45E-59	1.17E-62
986	5.11E-43	4.26E-51
987	7.90E-111	1.28E-110
988	0.790653514	0.000765761
989	4.05E-08	2.85E-09
990	2.13E-09	1.68E-09
991	1.53E-06	3.06E-07
992	4.26E-64	2.28E-63
993	0.745080616	4.25E-07
994	5.79E-138	1.39E-132
995	1.15E-08	0.68621566
996	2.02E-99	5.37E-92
997	0.309397112	1.02E-16
998	3.24E-83	1.22E-93
999	7.64E-08	9.38E-08
1000	5.31E-08	2.81E-06
1001	9.30E-16	0.535902125
1002	2.77E-139	1.12E-127
1003	4.88E-18	0.035212106
1004	1.36E-07	3.95E-05
1005	9.42E-10	3.22E-09
1006	3.82E-09	0.000111268
1007	2.94E-10	0.994993144
1008	9.09E-07	0.998016042
1009	1.43E-30	2.22E-13
1010	8.17E-78	1.64E-64
1011	8.41E-29	4.28E-54
1012	0.001392231	9.16E-08
1013	0.999996695	9.72E-13
1014	5.60E-08	8.27E-43
1015	1.69E-06	2.44E-10
1016	4.09E-16	8.09E-07
1017	1.07E-112	6.36E-90
1018	2.56E-74	6.06E-80
1019	0.793187533	1.09E-17
1020	2.35E-07	5.05E-08
1021	1.17E-09	1.18E-09
1022	4.91E-07	1.42E-07
1023	3.35E-11	7.88E-06
1024	1.32E-26	1.77E-13
1025	7.13E-46	5.99E-56
1026	3.84E-86	3.25E-71
1027	8.96E-77	5.30E-38
1028	4.23E-21	4.12E-13
1029	4.61E-33	2.50E-06
1030	2.14E-88	7.21E-97
1031	0.999160152	2.91E-09
1032	5.41E-08	9.49E-10
1033	7.03E-10	7.49E-10
1034	1.18E-09	1.55E-09
1035	6.72E-10	6.72E-10
1036	1.21E-09	3.48E-09
1037	9.64E-05	0.004338618
1038	9.01E-60	1.78E-11
1039	1.90E-128	1.90E-128
1040	2.77E-139	7.26E-134
1041	1.45E-55	2.91E-77
1042	8.42E-86	1.18E-118
1043	2.77E-139	2.77E-139
1044	3.20E-67	3.34E-48
1045	9.60E-24	2.40E-15
1046	6.69E-13	2.09E-22
1047	2.47E-37	7.24E-55
1048	1.25E-29	1.05E-48
1049	7.13E-41	3.24E-94
1050	0.999717252	6.02E-66
1051	1.46E-14	1.28E-81
1052	0.997548993	2.32E-55
1053	3.06E-29	1.87E-05
1054	0.000150258	2.47E-08
1055	4.97E-05	0.020634783
1056	0.000420205	5.12E-23
1057	0.929209197	3.10E-58
1058	0.999999979	4.36E-52
1059	0.999999983	1.39E-61
1060	0.999951821	1.18E-13
1061	0.515060602	1.16E-09
1062	0.656390691	1.00E-09
1063	0.001953964	1.75E-09
1064	0.999673465	7.92E-20
1065	0.99999999	6.82E-31
1066	0.999999874	9.62E-38
1067	0.999997931	1.49E-27
1068	0.01033054	8.97E-61
1069	2.37E-07	2.13E-08
1070	6.75E-08	1.49E-09
1071	0.997508327	1.11E-07
1072	0.525131834	1.20E-09
1073	7.77E-45	1.83E-55
1074	2.07E-10	5.12E-33
1075	1.08E-07	1.19E-07
1076	5.01E-08	1.99E-06
1077	4.87E-08	3.56E-09
1078	7.83E-08	2.28E-07
1079	3.37E-10	1.35E-05
1080	2.66E-12	3.00E-08
1081	0.099759676	0.014007047
1082	0.001060757	1.27E-06
1083	0.999703084	2.17E-08
1084	0.025411709	5.86E-07
1085	2.71E-05	0.00271191
1086	7.73E-05	3.61E-13
1087	4.32E-06	4.73E-06
1088	6.61E-23	1.59E-19
1089	2.06E-17	4.70E-16
1090	4.70E-05	0.014489112
1091	0.000405679	0.373852278
1092	1.12E-40	4.91E-12
1093	1.31E-33	3.19E-09
1094	2.32E-40	5.34E-39
1095	2.38E-09	1.74E-09
1096	0.000463198	1.87E-07
1097	0.010216537	5.73E-08
1098	0.000129272	1.84E-08
1099	1.49E-09	1.59E-09
1100	1.18E-06	8.38E-05
1101	1.53E-15	0.999838873
1102	2.29E-09	0.997309307
1103	2.01E-34	5.38E-12
1104	2.91E-62	3.99E-37
1105	4.24E-57	2.53E-65
1106	9.92E-68	2.70E-76
1107	0.165810776	0.004767819
1108	2.38E-84	3.02E-57
1109	2.77E-139	2.77E-139
1110	3.78E-49	2.40E-43
1111	7.12E-139	9.24E-138
1112	0.000727775	0.919175957
1113	3.96E-102	2.43E-97
1114	6.78E-72	4.16E-104
1115	5.80E-71	7.64E-93
1116	0.64344816	6.39E-05
1117	0.001136685	0.002083579
1118	0.001112801	3.41E-17
1119	0.290046632	1.24E-17
1120	5.30E-30	9.55E-33
1121	4.72E-05	0.000800183
1122	5.21E-28	1.04E-25
1123	8.04E-39	2.90E-22
1124	0.006829526	0.065945531
1125	5.53E-05	0.067603619
1126	2.24E-33	4.36E-29
1127	1.68E-12	0.161367889
1128	4.09E-11	0.999787466
1129	1.01E-08	0.997558346
1130	1.13E-51	6.88E-10
1131	3.07E-34	7.93E-38
1132	2.65E-10	3.93E-18
1133	0.027535163	4.43E-18
1134	6.54E-29	3.90E-37
1135	2.05E-36	2.47E-67
1136	3.57E-38	4.05E-48
1137	0.002115165	0.90807473
1138	1.40E-09	0.121011699
1139	1.32E-56	1.77E-36
1140	7.94E-39	4.75E-31
1141	3.73E-34	0.00133103
1142	6.71E-74	7.99E-47
1143	4.36E-91	5.74E-57
1144	1.32E-94	6.91E-91
1145	4.73E-05	0.000608564
1146	1.20E-09	0.999898632
1147	5.36E-50	0.000100029
1148	3.48E-98	2.26E-41
1149	2.77E-139	1.61E-113
1150	1.34E-70	8.35E-50
1151	0.254743853	2.53E-11
1152	0.001469767	7.01E-10
1153	3.23E-118	2.77E-139
1154	1.56E-18	2.68E-43
1155	7.97E-38	3.05E-76
1156	0.000183164	3.02E-05
1157	2.81E-23	0.000104141
1158	1.37E-15	2.77E-11
1159	1.61E-14	1.50E-50
1160	4.12E-06	0.964357416
1161	4.47E-56	2.87E-51
1162	6.06E-80	3.10E-113
1163	3.80E-16	7.19E-35
1164	0.000367368	2.47E-15
1165	6.46E-46	7.25E-46
1166	5.70E-24	6.78E-39
1167	9.19E-65	1.07E-112
1168	0.003010842	1.89E-13
1169	9.42E-109	2.81E-125
1170	2.26E-19	2.98E-35
1171	0.160651366	2.11E-18
1172	3.33E-14	1.37E-43
1173	0.007061362	1.39E-05
1174	0.000240986	2.30E-24
1175	2.73E-06	1.46E-29
1176	9.50E-06	1.53E-25
1177	8.83E-12	5.33E-22
1178	0.000114386	0.138133168
1179	4.20E-39	1.01E-08
1180	5.84E-23	2.23E-12
1181	5.46E-20	5.27E-07
1182	2.77E-121	7.46E-102
1183	7.58E-81	2.37E-28
1184	2.81E-125	4.98E-92
1185	3.08E-49	0.639898996
1186	2.77E-103	3.82E-62
1187	1.23E-96	4.16E-51
1188	4.58E-110	5.83E-77
1189	1.75E-115	1.49E-50
1190	7.26E-116	1.69E-53
1191	2.77E-139	2.48E-128
1192	1.11E-08	0.000375419
1193	4.73E-37	7.40E-30
1194	4.88E-11	0.995906765
1195	7.21E-10	0.998883144
1196	3.32E-76	6.82E-31
1197	3.15E-99	7.13E-69
1198	3.15E-99	2.14E-73
1199	1.93E-96	6.67E-67
1200	1.06E-109	4.04E-97
1201	2.77E-139	2.16E-88
1202	6.88E-93	1.37E-70
1203	8.29E-100	1.46E-91
1204	9.13E-75	2.68E-61
1205	1.11E-21	4.13E-74
1206	5.74E-57	8.46E-45
1207	4.77E-69	4.10E-83
1208	2.24E-32	1.05E-32
1209	5.65E-15	4.80E-25
1210	0.976823408	3.59E-19
1211	4.56E-09	3.10E-34
1212	1.25E-08	0.019393305
1213	6.14E-09	0.000802862
1214	2.69E-11	6.30E-18
1215	1.05E-13	0.127138831
1216	1.25E-27	5.37E-30
1217	4.56E-38	1.44E-57
1218	9.02E-10	8.73E-25
1219	2.77E-139	2.77E-139
1220	7.98E-19	1.15E-27
1221	3.05E-14	2.62E-07
1222	0.001430449	4.96E-06
1223	1.53E-20	2.00E-42
1224	0.996172945	3.47E-15
1225	1.15E-05	7.90E-08
1226	0.003736795	0.001658625
1227	0.004343928	0.797430465
1228	2.95E-41	3.56E-49
1229	9.51E-05	0.699999459
1230	2.65E-62	7.25E-36
1231	1.10E-91	6.88E-93
1232	2.89E-139	2.77E-139
1233	7.79E-06	3.13E-28
1234	7.50E-08	4.54E-32
1235	0.03104073	1.10E-09
1236	1.84E-36	9.54E-50
1237	0.966865949	7.33E-14
1238	0.994482734	7.13E-06
1239	1.20E-07	1.98E-11
1240	8.88E-13	5.23E-25
1241	8.95E-104	3.90E-115
1242	0.653267894	0.002151102
1243	2.87E-92	3.86E-111
1244	0.98988636	9.98E-10
1245	1.59E-36	8.62E-35
1246	2.43E-47	1.63E-45
1247	2.60E-10	1.92E-11
1248	1.20E-14	3.95E-15
1249	0.258826023	0.003569927
1250	0.000317587	0.000529181
1251	4.58E-25	1.76E-26
1252	2.62E-06	8.88E-13
1253	5.38E-11	9.41E-17
1254	0.886975923	1.97E-20
1255	2.31E-07	1.61E-08
1256	0.000213096	5.81E-05
1257	1.07E-16	2.93E-19
1258	0.00417353	0.000148373
1259	1.80E-11	4.05E-21
1260	2.86E-17	1.30E-11
1261	2.52E-53	5.60E-53
1262	6.37E-28	1.57E-33
1263	0.006622616	0.00187814
1264	7.58E-12	9.49E-19
1265	0.000350701	4.30E-11
1266	1.21E-26	1.29E-44
1267	0.059106153	2.57E-12
1268	6.10E-20	2.83E-36
1269	0.103711646	3.06E-08
1270	1.74E-14	6.29E-18
1271	1.07E-06	7.59E-14
1272	0.842981355	5.14E-05
1273	3.88E-09	2.93E-37
1274	7.14E-37	2.28E-68
1275	1.61E-42	6.99E-51
1276	2.23E-37	1.32E-48
1277	1.19E-45	2.06E-62
1278	1.37E-67	2.07E-86
1279	0.187852126	9.05E-06
1280	0.00020174	5.17E-06
1281	1.26E-10	4.38E-14
1282	0.003320297	1.98E-13
1283	3.38E-30	3.36E-21
1284	1.78E-32	7.37E-43
1285	0.297920177	0.048211659
1286	4.88E-20	8.85E-23
1287	1.21E-74	2.03E-72
1288	5.07E-91	7.37E-102
1289	1.17E-40	1.07E-59
1290	7.37E-120	7.26E-134
1291	2.60E-38	8.64E-61
1292	4.31E-14	3.93E-38
1293	0.188511525	1.04E-24
1294	0.023421564	1.62E-07
1295	0.811349736	1.59E-05
1296	0.252833724	6.80E-18
1297	5.06E-08	1.11E-24
1298	1.60E-39	9.18E-67
1299	0.995963549	1.70E-06
1300	1.75E-62	6.24E-93
1301	0.987086925	8.78E-07
1302	2.56E-38	6.95E-83
1303	0.004033427	1.80E-36
1304	2.22E-06	8.79E-08
1305	1.24E-09	7.30E-10
1306	6.82E-08	7.94E-10
1307	0.999974642	3.26E-11
1308	7.46E-08	7.80E-10
1309	1.54E-09	9.65E-10
1310	3.33E-09	1.73E-09
1311	8.79E-08	1.01E-09
1312	0.999953965	7.78E-20
1313	2.86E-08	6.69E-34
1314	0.084627012	2.85E-21
1315	0.000317311	1.21E-05
1316	3.06E-22	4.38E-33
1317	9.27E-06	2.63E-45
1318	0.915800228	4.73E-33
1319	0.000958102	3.76E-15
1320	6.46E-08	4.50E-08
1321	1.00E-09	7.68E-10
1322	2.13E-06	2.43E-09
1323	8.95E-05	6.70E-06
1324	5.14E-69	6.08E-53
1325	4.99E-123	4.16E-122
1326	1.33E-35	2.10E-29
1327	6.05E-97	4.52E-89
1328	3.24E-39	3.96E-67
1329	0.915221742	4.19E-27
1330	0.967595712	0.0002031
1331	2.05E-08	5.34E-15
1332	6.24E-10	3.97E-14
1333	2.61E-15	4.30E-13
1334	9.86E-10	2.59E-21
1335	1.26E-19	1.61E-16
1336	4.45E-05	0.825189673
1337	5.74E-24	4.94E-15
1338	5.69E-104	3.26E-92
1339	8.23E-08	9.44E-08
1340	3.88E-08	1.88E-07
1341	2.36E-32	0.047755842
1342	2.59E-57	3.39E-38
1343	1.35E-71	2.45E-32
1344	7.26E-116	1.35E-38
1345	6.60E-40	8.26E-36
1346	8.58E-08	4.02E-07
1347	7.56E-08	1.65E-07
1348	8.39E-55	1.12E-24
1349	2.26E-44	5.70E-08
1350	2.12E-29	0.000378248
1351	6.41E-37	7.12E-35
1352	3.35E-36	1.85E-47
1353	1.35E-84	7.95E-10
1354	7.43E-45	6.18E-09
1355	1.11E-66	3.03E-26
1356	1.09E-98	5.83E-44
1357	5.70E-89	3.90E-31
1358	8.51E-66	4.29E-23
1359	1.33E-85	6.67E-34
1360	1.54E-102	5.68E-65
1361	1.37E-34	6.44E-09
1362	9.87E-65	1.80E-40
1363	1.47E-97	1.62E-72
1364	7.26E-134	1.90E-128
1365	4.96E-75	1.12E-59
1366	1.31E-117	4.03E-114
1367	1.31E-53	2.07E-16
1368	3.58E-127	1.38E-89
1369	0.685763033	5.44E-07
1370	4.22E-28	6.20E-38
1371	1.89E-28	1.23E-61
1372	0.977290177	2.80E-09
1373	6.86E-49	1.09E-13
1374	4.16E-122	6.21E-58
1375	3.20E-67	3.44E-19
1376	8.80E-49	1.70E-32
1377	0.432274468	0.011813942
1378	3.40E-06	0.037917261
1379	3.10E-07	6.49E-07
1380	9.96E-08	9.74E-06
1381	2.02E-07	0.844613356
1382	7.47E-73	3.21E-34
1383	4.16E-122	7.37E-102
1384	4.09E-118	1.96E-100
1385	8.50E-71	4.62E-14
1386	1.25E-52	8.11E-08
1387	4.82E-06	0.000177991
1388	7.43E-43	5.83E-11
1389	1.74E-42	1.59E-31
1390	2.03E-72	8.64E-60
1391	2.00E-45	1.15E-20
1392	8.65E-14	0.000974697
1393	7.97E-23	1.89E-13
1394	6.52E-08	6.77E-08
1395	5.62E-08	7.01E-08
1396	2.93E-27	8.02E-06
1397	1.28E-11	3.12E-12
1398	3.41E-30	1.97E-34
1399	1.85E-05	0.260938714
1400	4.20E-54	1.04E-33
1401	9.25E-15	6.32E-06
1402	1.73E-34	1.66E-24
1403	3.82E-35	3.25E-37
1404	3.29E-46	2.29E-51
1405	2.76E-60	1.09E-81
1406	4.36E-36	5.77E-49
1407	1.39E-38	6.63E-19
1408	1.90E-110	4.82E-74
1409	2.77E-139	2.77E-139
1410	1.90E-128	2.86E-111
1411	2.89E-54	1.44E-29
1412	6.87E-33	9.76E-09
1413	1.71E-39	3.36E-10
1414	1.90E-128	7.26E-116
1415	7.37E-102	6.38E-45
1416	6.88E-93	2.20E-56
1417	4.72E-70	2.06E-72
1418	4.33E-06	0.000405413
1419	1.20E-07	2.55E-07
1420	3.50E-21	3.13E-07
1421	4.36E-06	1.08E-05
1422	1.84E-84	9.98E-56
1423	2.77E-139	4.09E-118
1424	2.77E-139	1.07E-130
1425	2.77E-139	2.77E-139
1426	2.77E-139	2.77E-139
1427	2.77E-139	2.77E-139
1428	2.24E-57	5.38E-40
1429	8.68E-82	1.11E-102
1430	2.60E-78	2.11E-75
1431	3.43E-59	8.35E-51
1432	6.38E-24	5.96E-75
1433	7.17E-16	3.17E-43
1434	1.24E-64	1.10E-68
1435	2.77E-139	2.77E-139
1436	2.81E-125	1.90E-128
1437	1.18E-100	1.31E-29
1438	2.16E-88	1.20E-59
1439	1.81E-39	5.56E-34
1440	6.38E-35	2.38E-05
1441	2.86E-76	1.60E-50
1442	8.65E-52	1.14E-33
1443	2.77E-139	2.77E-139
1444	1.43E-20	1.74E-10
1445	9.47E-21	4.03E-19
1446	2.97E-05	0.320573181
1447	5.15E-138	2.04E-137
1448	2.77E-139	2.77E-139
1449	5.66E-12	8.98E-68
1450	0.016619817	7.17E-08
1451	0.999992007	8.26E-50
1452	0.994426577	5.15E-10
1453	2.33E-41	5.68E-62
1454	0.998431985	3.12E-45
1455	0.000557257	1.62E-07
1456	0.000206812	2.76E-48
1457	2.06E-66	4.16E-104
1458	7.26E-134	2.77E-139
1459	2.61E-65	3.16E-120
1460	7.20E-08	5.11E-08
1461	1.47E-05	9.22E-10
1462	1.31E-09	8.05E-10
1463	1.41E-08	6.37E-09
1464	1.70E-07	2.76E-07
1465	1.15E-25	7.93E-44
1466	2.77E-139	2.77E-139
1467	6.34E-55	2.86E-93
1468	2.11E-137	2.10E-137
1469	5.69E-08	5.11E-08
1470	6.86E-10	6.85E-10
1471	7.60E-08	6.57E-08
1472	6.25E-19	7.12E-25
1473	2.75E-23	9.76E-62
1474	2.61E-07	5.55E-08
1475	0.464832922	0.000183412
1476	7.51E-09	7.26E-09
1477	4.56E-06	1.73E-08
1478	8.40E-07	1.25E-08
1479	0.927148738	4.85E-05
1480	4.12E-08	2.01E-09
1481	1.28E-09	1.85E-09
1482	1.81E-07	1.00E-07
1483	3.21E-70	2.97E-84
1484	1.90E-128	7.26E-134
1485	2.05E-29	2.32E-29
1486	1.10E-06	1.52E-33
1487	0.000180098	4.92E-41
1488	1.10E-49	2.46E-73
1489	2.79E-33	1.55E-27
1490	5.06E-138	2.84E-139
1491	0.668542	8.57E-07
1492	5.06E-138	2.84E-139
1493	9.61E-10	1.56E-31
1494	9.32E-95	1.09E-116
1495	0.999999693	5.60E-34
1496	0.999859966	1.60E-60
1497	0.000152292	2.15E-58
1498	1.46E-131	2.82E-138
1499	0.994068228	1.91E-08
1500	3.65E-05	1.58E-06
1501	4.24E-11	3.36E-39
1502	5.93E-27	1.77E-72
1503	7.29E-26	1.11E-49
1504	5.32E-12	6.74E-31
1505	4.66E-43	3.20E-85
1506	4.99E-123	7.26E-134
1507	2.43E-62	1.94E-79
1508	3.93E-08	2.70E-30
1509	7.24E-05	0.149737212
1510	5.25E-15	2.67E-40
1511	2.21E-62	4.22E-90
1512	3.15E-99	4.04E-115
1513	1.31E-117	6.77E-107
1514	1.83E-41	1.22E-47
1515	1.49E-42	2.50E-38
1516	7.26E-134	2.81E-125
1517	3.10E-113	7.37E-84
1518	3.54E-92	1.11E-79
1519	6.20E-67	3.81E-61
1520	1.80E-106	2.69E-102
1521	5.14E-06	0.904927885
1522	1.30E-08	9.97E-07
1523	1.08E-06	5.75E-05
1524	4.23E-95	4.74E-85
1525	7.26E-134	1.93E-114
1526	1.07E-130	6.67E-85
1527	2.77E-139	7.26E-134
1528	2.77E-139	7.26E-134
1529	5.97E-112	3.20E-85
1530	2.77E-139	2.77E-139
1531	7.26E-134	4.51E-124
1532	5.88E-34	1.30E-24
1533	5.72E-30	2.26E-30
1534	1.75E-97	1.57E-88
1535	3.50E-11	1.95E-11
1536	2.15E-05	3.64E-05
1537	8.01E-07	3.68E-09
1538	0.966141045	1.09E-05
1539	5.06E-20	2.49E-31
1540	6.98E-23	2.75E-56
1541	0.007041671	2.03E-15
1542	8.00E-35	3.14E-72
1543	1.48E-07	5.49E-08
1544	6.95E-10	6.91E-10
1545	7.22E-10	7.09E-10
1546	4.25E-09	6.97E-10
1547	2.39E-09	3.89E-09
1548	0.000850791	0.014068551
1549	5.98E-137	2.09E-137
1550	0.000228664	4.85E-09
1551	6.96E-08	9.55E-07
1552	1.82E-05	2.61E-07
1553	1.11E-05	4.95E-09
1554	8.48E-10	7.22E-10
1555	1.16E-09	8.65E-10
1556	6.90E-10	6.84E-10
1557	4.68E-08	1.67E-09
1558	0.905521783	3.25E-06
1559	6.57E-06	1.81E-07
1560	2.32E-08	2.70E-52
1561	5.91E-07	5.57E-08
1562	3.30E-06	9.24E-10
1563	0.642423231	4.30E-08
1564	0.024287627	5.00E-08
1565	1.28E-07	1.63E-07
1566	2.83E-06	0.906024513
1567	2.55E-11	0.976510489
1568	8.88E-25	2.41E-26
1569	4.60E-19	7.19E-07
1570	8.82E-55	3.03E-33
1571	2.97E-20	6.86E-31
1572	0.481433816	2.26E-07
1573	0.008526343	6.23E-06
1574	1.80E-30	5.72E-50
1575	1.45E-08	7.12E-27
1576	6.63E-23	1.82E-50
1577	6.19E-20	8.19E-34
1578	1.08E-43	1.09E-98
1579	5.76E-51	3.15E-99
1580	1.07E-130	2.77E-139
1581	7.26E-134	2.77E-139
1582	5.70E-89	7.37E-120
1583	3.15E-99	7.26E-134
1584	1.28E-41	8.48E-50
1585	1.84E-58	1.07E-112
1586	7.26E-134	2.77E-139
1587	7.26E-134	1.93E-114
1588	2.77E-139	2.77E-139
1589	7.37E-120	1.90E-128
1590	2.77E-139	2.77E-139
1591	7.26E-134	7.26E-134
1592	4.16E-122	1.90E-110
1593	1.90E-128	2.77E-139
1594	1.54E-102	2.77E-139
1595	2.81E-125	2.77E-139
1596	1.35E-89	1.75E-115
1597	1.43E-77	5.00E-123
1598	0.99996507	8.35E-13
1599	2.10E-15	6.57E-75
1600	2.48E-11	5.14E-12
1601	6.66E-37	4.68E-48
1602	1.91E-58	2.28E-63
1603	7.13E-50	5.86E-65
1604	1.98E-42	9.27E-79
1605	1.07E-37	2.95E-39
1606	4.26E-95	4.16E-87
1607	4.51E-124	7.49E-106
1608	2.81E-125	4.99E-123
1609	2.77E-139	2.77E-139
1610	2.77E-139	2.77E-139
1611	2.09E-102	2.09E-101
1612	3.88E-06	4.56E-06
1613	6.00E-59	3.06E-61
1614	6.14E-101	7.26E-134
1615	1.31E-117	7.37E-120
1616	2.77E-139	2.77E-139
1617	2.77E-139	2.77E-139
1618	2.77E-139	2.77E-139
1619	4.58E-110	1.07E-130
1620	2.77E-139	2.77E-139
1621	1.35E-84	1.31E-117
1622	3.81E-26	5.05E-98
1623	1.06E-07	4.77E-29
1624	6.71E-48	1.66E-85
1625	1.24E-76	4.99E-123
1626	3.41E-53	4.56E-56
1627	2.77E-139	2.77E-139
1628	1.75E-115	7.26E-134
1629	1.32E-20	2.86E-58
1630	2.16E-70	7.02E-59
1631	2.77E-139	2.77E-139
1632	5.97E-112	2.77E-139
1633	1.02E-44	1.08E-39
1634	8.11E-08	9.37E-08
1635	6.90E-08	5.86E-08
1636	8.25E-86	2.61E-110
1637	9.72E-32	7.85E-75
1638	7.35E-31	2.62E-80
1639	2.17E-05	4.09E-37
1640	1.68E-18	1.30E-15
1641	1.04E-23	7.35E-55
1642	1.26E-62	1.59E-109
1643	7.26E-134	2.77E-139
1644	1.56E-106	4.51E-106
1645	2.77E-139	2.77E-139
1646	8.25E-76	2.81E-89
1647	5.40E-42	1.65E-51
1648	3.38E-56	4.51E-106
1649	1.24E-82	1.90E-128
1650	2.77E-139	2.77E-139
1651	3.94E-19	1.22E-90
1652	4.60E-37	1.35E-71
1653	1.07E-43	1.31E-81
1654	2.81E-125	2.77E-139
1655	3.43E-94	4.84E-55
1656	1.90E-128	7.26E-134
1657	2.81E-107	1.06E-91
1658	1.51E-108	1.07E-95
1659	2.77E-139	2.77E-139
1660	2.77E-139	2.77E-139
1661	1.78E-66	1.47E-97
1662	2.77E-139	2.77E-139
1663	1.26E-75	4.51E-106
1664	2.77E-139	2.77E-139
1665	7.26E-134	2.77E-139
1666	1.06E-126	2.77E-139
1667	2.77E-139	2.77E-139
1668	2.77E-139	2.77E-139
1669	2.10E-137	1.98E-137
1670	0.00079326	6.06E-08
1671	0.224821165	3.90E-07
1672	3.69E-13	2.58E-86
1673	4.16E-86	1.07E-130
1674	1.20E-68	1.64E-99
1675	7.37E-120	2.77E-139
1676	1.04E-57	6.68E-86
1677	0.096400655	2.03E-67
1678	0.999985771	5.52E-13
1679	4.07E-06	5.14E-08
1680	2.17E-109	2.09E-137
1681	2.78E-139	2.77E-139
1682	3.49E-10	2.79E-104
1683	0.999999558	2.32E-14
1684	0.999893882	8.94E-21
1685	1.64E-24	9.31E-42
1686	9.43E-14	3.08E-08
1687	0.055116523	3.94E-06
1688	0.880288419	2.33E-19
1689	0.010220855	1.48E-07
1690	4.64E-41	9.61E-51
1691	0.999997425	1.48E-36
1692	5.20E-08	7.16E-10
1693	2.10E-07	8.11E-10
1694	0.999987001	4.78E-30
1695	0.909647874	2.60E-05
1696	2.73E-05	2.28E-07
1697	0.000339243	1.49E-30
1698	1.81E-33	4.02E-36
1699	5.17E-58	5.19E-38
1700	1.42E-06	4.07E-06
1701	7.30E-10	8.10E-10
1702	5.07E-09	9.31E-10
1703	6.72E-10	6.72E-10
1704	8.81E-10	7.84E-10
1705	1.18E-09	6.57E-08
1706	1.58E-15	0.999980473
1707	2.77E-139	2.10E-137
1708	2.13E-72	3.10E-125
1709	0.877161032	4.95E-06
1710	9.33E-16	2.38E-88
1711	1.15E-21	3.31E-75
1712	0.101222568	1.05E-07
1713	2.61E-06	6.43E-08
1714	4.75E-33	1.08E-75
1715	5.51E-05	6.10E-06
1716	3.39E-86	2.07E-123
1717	2.77E-139	2.77E-139
1718	2.64E-18	7.13E-64
1719	9.39E-32	6.39E-66
1720	0.000143752	4.47E-09
1721	7.80E-24	4.68E-13
1722	7.86E-41	5.97E-56
1723	1.23E-10	7.17E-31
1724	0.986333861	7.08E-37
1725	1.25E-05	3.48E-07
1726	5.48E-08	2.27E-21
1727	0.000297902	0.195074365
1728	1.79E-90	5.18E-64
1729	1.24E-15	7.93E-08
